CoID,Date,CostCtr,SHRINKAGE_QTY,SHRINKAGE_AMT,BREAKAGE_QTY,BREAKAGE_AMT,OVERAGE_QTY,OVERAGE_AMT
FGC,1/1/2019,2100,0,0,0,0,0,0
FGC,1/2/2019,2100,-17,-87.67,-37,-758.67,-16,-379.33
FGC,1/3/2019,2100,-17,-87.67,-37,-758.67,-16,-379.33
FGC,1/4/2019,2100,-17,-87.67,-37,-758.67,-16,-379.33
FGC,1/5/2019,2100,0,0,0,0,0,0
FGC,1/6/2019,2100,0,0,0,0,0,0
FGC,1/7/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/8/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/9/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/10/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/11/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/12/2019,2100,0,0,0,0,0,0
FGC,1/13/2019,2100,0,0,0,0,0,0
FGC,1/14/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/15/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/16/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/17/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/18/2019,2100,-10,-52.6,-22,-455.2,-10,-227.6
FGC,1/19/2019,2100,0,0,0,0,0,0
FGC,1/20/2019,2100,0,0,0,0,0,0
FGC,1/21/2019,2100,0,0,0,0,0,0
FGC,1/22/2019,2100,-13,-65.75,-28,-569,-12,-284.5
FGC,1/23/2019,2100,-13,-65.75,-28,-569,-12,-284.5
FGC,1/24/2019,2100,-13,-65.75,-28,-569,-12,-284.5
FGC,1/25/2019,2100,-13,-65.75,-28,-569,-12,-284.5
FGC,1/26/2019,2100,0,0,0,0,0,0
FGC,1/27/2019,2100,0,0,0,0,0,0
FGC,1/28/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,1/29/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,1/30/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,1/31/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/1/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/2/2019,2100,0,0,0,0,0,0
FGC,2/3/2019,2100,0,0,0,0,0,0
FGC,2/4/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/5/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/6/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/7/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/8/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/9/2019,2100,0,0,0,0,0,0
FGC,2/10/2019,2100,0,0,0,0,0,0
FGC,2/11/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/12/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/13/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/14/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/15/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/16/2019,2100,0,0,0,0,0,0
FGC,2/17/2019,2100,0,0,0,0,0,0
FGC,2/18/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/19/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/20/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/21/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/22/2019,2100,-11,-56.4,-23,-488.4,-10,-244.2
FGC,2/23/2019,2100,0,0,0,0,0,0
FGC,2/24/2019,2100,0,0,0,0,0,0
FGC,2/25/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,2/26/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,2/27/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,2/28/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/1/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/2/2019,2100,0,0,0,0,0,0
FGC,3/3/2019,2100,0,0,0,0,0,0
FGC,3/4/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/5/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/6/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/7/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/8/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/9/2019,2100,0,0,0,0,0,0
FGC,3/10/2019,2100,0,0,0,0,0,0
FGC,3/11/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/12/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/13/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/14/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/15/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/16/2019,2100,0,0,0,0,0,0
FGC,3/17/2019,2100,0,0,0,0,0,0
FGC,3/18/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/19/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/20/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/21/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/22/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/23/2019,2100,0,0,0,0,0,0
FGC,3/24/2019,2100,0,0,0,0,0,0
FGC,3/25/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/26/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/27/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/28/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/29/2019,2100,-10,-50.8,-22,-441.8,-9,-220.8
FGC,3/30/2019,2100,0,0,0,0,0,0
FGC,3/31/2019,2100,0,0,0,0,0,0
FGC,4/1/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/2/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/3/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/4/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/5/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/6/2019,2100,0,0,0,0,0,0
FGC,4/7/2019,2100,0,0,0,0,0,0
FGC,4/8/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/9/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/10/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/11/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/12/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/13/2019,2100,0,0,0,0,0,0
FGC,4/14/2019,2100,0,0,0,0,0,0
FGC,4/15/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/16/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
FGC,4/17/2019,2100,-12,-65.4,-27,-565.8,-14,-282.8
