CoID,Date,CostCtr,SHRINKAGE_QTY,SHRINKAGE_AMT,BREAKAGE_QTY,BREAKAGE_AMT,OVERAGE_QTY,OVERAGE_AMT
HJL,1/1/2019,2100,0,0,0,0,0,0
HJL,1/2/2019,2100,-6,-79.63,-27,-386.82,-13,-251.87
HJL,1/3/2019,2100,-6,-79.63,-27,-386.82,-13,-251.87
HJL,1/4/2019,2100,-6,-79.63,-27,-386.82,-13,-251.87
HJL,1/5/2019,2100,0,0,0,0,0,0
HJL,1/6/2019,2100,0,0,0,0,0,0
HJL,1/7/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/8/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/9/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/10/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/11/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/12/2019,2100,0,0,0,0,0,0
HJL,1/13/2019,2100,0,0,0,0,0,0
HJL,1/14/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/15/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/16/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/17/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/18/2019,2100,-3,-46.83,-16,-228.02,-9,-148.8
HJL,1/19/2019,2100,0,0,0,0,0,0
HJL,1/20/2019,2100,0,0,0,0,0,0
HJL,1/21/2019,2100,0,0,0,0,0,0
HJL,1/22/2019,2100,-4,-58.88,-20,-287.57,-10,-187.45
HJL,1/23/2019,2100,-4,-58.88,-20,-287.57,-10,-187.45
HJL,1/24/2019,2100,-4,-58.88,-20,-287.57,-10,-187.45
HJL,1/25/2019,2100,-4,-58.88,-20,-287.57,-10,-187.45
HJL,1/26/2019,2100,0,0,0,0,0,0
HJL,1/27/2019,2100,0,0,0,0,0,0
HJL,1/28/2019,2100,-3,-47.63,-16,-228.02,-9,-148.8
HJL,1/29/2019,2100,-3,-47.63,-16,-228.02,-9,-148.8
HJL,1/30/2019,2100,-3,-47.63,-16,-228.02,-9,-148.8
HJL,1/31/2019,2100,-3,-47.63,-16,-228.02,-9,-148.8
HJL,2/1/2019,2100,-3,-47.63,-16,-233.42,-9,-152.2
HJL,2/2/2019,2100,0,0,0,0,0,0
HJL,2/3/2019,2100,0,0,0,0,0,0
HJL,2/4/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/5/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/6/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/7/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/8/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/9/2019,2100,0,0,0,0,0,0
HJL,2/10/2019,2100,0,0,0,0,0,0
HJL,2/11/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/12/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/13/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/14/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/15/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/16/2019,2100,0,0,0,0,0,0
HJL,2/17/2019,2100,0,0,0,0,0,0
HJL,2/18/2019,2100,-4,-46.63,-17,-233.42,-9,-152.2
HJL,2/19/2019,2100,-4,-46.63,-17,-233.42,-9,-152.2
HJL,2/20/2019,2100,-4,-46.63,-17,-233.42,-9,-152.2
HJL,2/21/2019,2100,-4,-46.63,-17,-233.42,-9,-152.2
HJL,2/22/2019,2100,-4,-46.63,-17,-233.42,-9,-152.2
HJL,2/23/2019,2100,0,0,0,0,0,0
HJL,2/24/2019,2100,0,0,0,0,0,0
HJL,2/25/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/26/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/27/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,2/28/2019,2100,-4,-48.03,-17,-233.42,-9,-152.2
HJL,3/1/2019,2100,-4,-47.63,-17,-233.42,-9,-152.2
HJL,3/2/2019,2100,0,0,0,0,0,0
HJL,3/3/2019,2100,0,0,0,0,0,0
HJL,3/4/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/5/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/6/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/7/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/8/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/9/2019,2100,0,0,0,0,0,0
HJL,3/10/2019,2100,0,0,0,0,0,0
HJL,3/11/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/12/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/13/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/14/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/15/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/16/2019,2100,0,0,0,0,0,0
HJL,3/17/2019,2100,0,0,0,0,0,0
HJL,3/18/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/19/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/20/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/21/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/22/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/23/2019,2100,0,0,0,0,0,0
HJL,3/24/2019,2100,0,0,0,0,0,0
HJL,3/25/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/26/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/27/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/28/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/29/2019,2100,-3,-46.21,-16,-226.22,-8,-147.6
HJL,3/30/2019,2100,0,0,0,0,0,0
HJL,3/31/2019,2100,0,0,0,0,0,0
HJL,4/1/2019,2100,-5,-64.01,-20,-314.02,-12,-204.6
HJL,4/2/2019,2100,-5,-64.01,-20,-314.02,-12,-204.6
HJL,4/3/2019,2100,-5,-64.01,-20,-314.02,-12,-204.6
HJL,4/4/2019,2100,-5,-64.01,-20,-314.02,-12,-204.6
