CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,1/2/2019,5110,"3,936",31,"23,157"
HJL,1/2/2019,5120,"5,450",98,"27,523"
HJL,1/2/2019,5130,"1,817",76,"12,317"
HJL,1/2/2019,5200,"3,936",62,"22,909"
HJL,1/2/2019,5150,797,76,"5,012"
HJL,1/3/2019,5110,"3,909",32,"22,998"
HJL,1/3/2019,5120,"5,413",101,"27,335"
HJL,1/3/2019,5130,"1,804",79,"12,233"
HJL,1/3/2019,5200,"3,909",63,"22,752"
HJL,1/3/2019,5150,791,78,"4,978"
HJL,1/4/2019,5110,"3,768",31,"22,169"
HJL,1/4/2019,5120,"5,218",100,"26,349"
HJL,1/4/2019,5130,"1,739",78,"11,792"
HJL,1/4/2019,5200,"3,768",62,"21,931"
HJL,1/4/2019,5150,763,78,"4,798"
HJL,1/7/2019,5110,"3,181",30,"18,716"
HJL,1/7/2019,5120,"4,405",94,"22,245"
HJL,1/7/2019,5130,"1,468",74,"9,955"
HJL,1/7/2019,5200,"3,181",59,"18,516"
HJL,1/7/2019,5150,644,74,"4,051"
HJL,1/8/2019,5110,"3,807",31,"22,398"
HJL,1/8/2019,5120,"5,272",100,"26,621"
HJL,1/8/2019,5130,"1,757",78,"11,914"
HJL,1/8/2019,5200,"3,807",62,"22,158"
HJL,1/8/2019,5150,771,76,"4,848"
HJL,1/9/2019,5110,"3,130",31,"18,412"
HJL,1/9/2019,5120,"4,333",98,"21,884"
HJL,1/9/2019,5130,"1,444",76,"9,793"
HJL,1/9/2019,5200,"3,130",62,"18,215"
HJL,1/9/2019,5150,634,76,"3,985"
HJL,1/10/2019,5110,"4,199",32,"24,703"
HJL,1/10/2019,5120,"5,814",101,"29,361"
HJL,1/10/2019,5130,"1,938",79,"13,140"
HJL,1/10/2019,5200,"4,199",63,"24,438"
HJL,1/10/2019,5150,850,78,"5,347"
HJL,1/11/2019,5110,"3,557",31,"20,925"
HJL,1/11/2019,5120,"4,925",100,"24,870"
HJL,1/11/2019,5130,"1,642",78,"11,130"
HJL,1/11/2019,5200,"3,557",62,"20,701"
HJL,1/11/2019,5150,720,78,"4,529"
HJL,1/14/2019,5110,"3,184",30,"18,732"
HJL,1/14/2019,5120,"4,409",94,"22,264"
HJL,1/14/2019,5130,"1,470",74,"9,963"
HJL,1/14/2019,5200,"3,184",59,"18,531"
HJL,1/14/2019,5150,645,74,"4,054"
HJL,1/15/2019,5110,"3,741",31,"22,005"
HJL,1/15/2019,5120,"5,179",100,"26,155"
HJL,1/15/2019,5130,"1,726",78,"11,705"
HJL,1/15/2019,5200,"3,741",62,"21,770"
HJL,1/15/2019,5150,757,76,"4,763"
HJL,1/16/2019,5110,"3,217",31,"18,924"
HJL,1/16/2019,5120,"4,454",98,"22,492"
HJL,1/16/2019,5130,"1,485",76,"10,066"
HJL,1/16/2019,5200,"3,217",62,"18,721"
HJL,1/16/2019,5150,651,76,"4,096"
HJL,1/17/2019,5110,"4,317",32,"25,396"
HJL,1/17/2019,5120,"5,977",101,"30,185"
HJL,1/17/2019,5130,"1,992",79,"13,509"
HJL,1/17/2019,5200,"4,317",63,"25,125"
HJL,1/17/2019,5150,874,78,"5,497"
HJL,1/18/2019,5110,"3,555",31,"20,912"
HJL,1/18/2019,5120,"4,922",100,"24,855"
HJL,1/18/2019,5130,"1,641",78,"11,123"
HJL,1/18/2019,5200,"3,555",62,"20,688"
HJL,1/18/2019,5150,720,78,"4,526"
