CoID,Date,CostCtr,ProdHrs,OTHrs,ProdDollars,Headcount
FDC,1/1/2019,4100,0,0,0,0
FDC,1/2/2019,4100,45.12,0,1874.736,6
FDC,1/3/2019,4100,45.12,0,1874.736,6
FDC,1/4/2019,4100,45.12,0,1874.736,6
FDC,1/5/2019,4100,0,0,0,0
FDC,1/6/2019,4100,0,0,0,0
FDC,1/7/2019,4100,45.12,0,1874.736,6
FDC,1/8/2019,4100,45.12,0,1874.736,6
FDC,1/9/2019,4100,45.12,0,1874.736,6
FDC,1/10/2019,4100,45.12,0,1874.736,6
FDC,1/11/2019,4100,45.12,0,1874.736,6
FDC,1/12/2019,4100,0,0,0,0
FDC,1/13/2019,4100,0,0,0,0
FDC,1/14/2019,4100,45.12,0,1874.736,6
FDC,1/15/2019,4100,45.12,0,1874.736,6
FDC,1/16/2019,4100,45.12,0,1874.736,6
FDC,1/17/2019,4100,45.12,0,1874.736,6
FDC,1/18/2019,4100,45.12,0,1874.736,6
FDC,1/19/2019,4100,0,0,0,0
FDC,1/20/2019,4100,0,0,0,0
FDC,1/21/2019,4100,0,0,0,0
FDC,1/22/2019,4100,45.12,0,1874.736,6
FDC,1/23/2019,4100,45.12,0,1874.736,6
FDC,1/24/2019,4100,45.12,0,1874.736,6
FDC,1/25/2019,4100,45.12,0,1874.736,6
FDC,1/26/2019,4100,0,0,0,0
FDC,1/27/2019,4100,0,0,0,0
FDC,1/28/2019,4100,45.12,0,1874.736,6
FDC,1/29/2019,4100,45.12,0,1874.736,6
FDC,1/30/2019,4100,45.12,0,1874.736,6
FDC,1/31/2019,4100,45.12,0,1874.736,6
FDC,2/1/2019,4100,46.56,0,1934.568,6
FDC,2/2/2019,4100,0,0,0,0
FDC,2/3/2019,4100,0,0,0,0
FDC,2/4/2019,4100,46.56,0,1934.568,6
FDC,2/5/2019,4100,46.56,0,1934.568,6
FDC,2/6/2019,4100,46.56,0,1934.568,6
FDC,2/7/2019,4100,46.56,0,1934.568,6
FDC,2/8/2019,4100,46.56,0,1934.568,6
FDC,2/9/2019,4100,0,0,0,0
FDC,2/10/2019,4100,0,0,0,0
FDC,2/11/2019,4100,46.56,0,1934.568,6
FDC,2/12/2019,4100,46.56,0,1934.568,6
FDC,2/13/2019,4100,46.56,0,1934.568,6
FDC,2/14/2019,4100,46.56,0,1934.568,6
FDC,2/15/2019,4100,46.56,0,1934.568,6
FDC,2/16/2019,4100,0,0,0,0
FDC,2/17/2019,4100,0,0,0,0
FDC,2/18/2019,4100,46.56,0,1934.568,6
FDC,2/19/2019,4100,46.56,0,1934.568,6
FDC,2/20/2019,4100,46.56,0,1934.568,6
FDC,2/21/2019,4100,46.56,0,1934.568,6
FDC,2/22/2019,4100,46.56,0,1934.568,6
FDC,2/23/2019,4100,0,0,0,0
FDC,2/24/2019,4100,0,0,0,0
FDC,2/25/2019,4100,46.56,0,1934.568,6
FDC,2/26/2019,4100,46.56,0,1934.568,6
FDC,2/27/2019,4100,46.56,0,1934.568,6
FDC,2/28/2019,4100,46.56,0,1934.568,6
FDC,3/1/2019,4100,36.96,0,1535.688,6
FDC,3/2/2019,4100,0,0,0,0
FDC,3/3/2019,4100,0,0,0,0
FDC,3/4/2019,4100,44.64,0,1854.792,6
FDC,3/5/2019,4100,44.64,0,1854.792,6
FDC,3/6/2019,4100,44.64,0,1854.792,6
FDC,3/7/2019,4100,44.64,0,1854.792,6
FDC,3/8/2019,4100,44.64,0,1854.792,6
FDC,3/9/2019,4100,0,0,0,0
FDC,3/10/2019,4100,0,0,0,0
FDC,3/11/2019,4100,44.64,0,1854.792,6
FDC,3/12/2019,4100,44.64,0,1854.792,6
FDC,3/13/2019,4100,44.64,0,1854.792,6
FDC,3/14/2019,4100,44.64,0,1854.792,6
FDC,3/15/2019,4100,44.64,0,1854.792,6
FDC,3/16/2019,4100,0,0,0,0
FDC,3/17/2019,4100,0,0,0,0
FDC,3/18/2019,4100,44.64,0,1854.792,6
FDC,3/19/2019,4100,44.64,0,1854.792,6
FDC,3/20/2019,4100,44.64,0,1854.792,6
FDC,3/21/2019,4100,44.64,0,1854.792,6
FDC,3/22/2019,4100,44.64,0,1854.792,6
FDC,3/23/2019,4100,0,0,0,0
FDC,3/24/2019,4100,0,0,0,0
FDC,3/25/2019,4100,44.64,0,1910.43576,6
FDC,3/26/2019,4100,44.64,0,1910.43576,6
FDC,3/27/2019,4100,44.64,0,1910.43576,6
FDC,3/28/2019,4100,44.64,0,1910.43576,6
FDC,3/29/2019,4100,44.64,0,1910.43576,6
FDC,3/30/2019,4100,0,0,0,0
FDC,3/31/2019,4100,0,0,0,0
FDC,4/1/2019,4100,45.6,0,1951.5204,6
FDC,4/2/2019,4100,45.6,0,1951.5204,6
FDC,4/3/2019,4100,45.6,0,1951.5204,6
FDC,4/4/2019,4100,45.6,0,1951.5204,6
FDC,4/5/2019,4100,45.6,0,1951.5204,6
FDC,4/6/2019,4100,0,0,0,0
FDC,4/7/2019,4100,0,0,0,0
FDC,4/8/2019,4100,45.6,0,1951.5204,6
FDC,4/9/2019,4100,45.6,0,1951.5204,6
FDC,4/10/2019,4100,45.6,0,1951.5204,6
FDC,4/11/2019,4100,45.6,0,1951.5204,6
FDC,4/12/2019,4100,45.6,0,1951.5204,6
FDC,4/13/2019,4100,0,0,0,0
FDC,4/14/2019,4100,0,0,0,0
FDC,4/15/2019,4100,45.6,0,1951.5204,6
FDC,4/16/2019,4100,45.6,0,1951.5204,6
FDC,4/17/2019,4100,45.6,0,1951.5204,6
FDC,4/18/2019,4100,45.6,0,1951.5204,6
FDC,4/19/2019,4100,45.6,0,1951.5204,6
FDC,4/20/2019,4100,0,0,0,0
FDC,4/21/2019,4100,0,0,0,0
FDC,4/22/2019,4100,45.6,0,1951.5204,6
FDC,4/23/2019,4100,45.6,0,1951.5204,6
FDC,4/24/2019,4100,45.6,0,1951.5204,6
FDC,4/25/2019,4100,45.6,0,1951.5204,6
FDC,4/26/2019,4100,45.6,0,1951.5204,6
FDC,4/27/2019,4100,0,0,0,0
FDC,4/28/2019,4100,0,0,0,0
FDC,4/29/2019,4100,45.6,0,1951.5204,6
FDC,4/30/2019,4100,45.6,0,1951.5204,6
FDC,5/1/2019,4100,44.64,0,1910.43576,6
