CoID,Date,CostCtr,  Ces  ,  Stops  ,   GP Dollars
FDC,1/2/2019,5110,19060.96434,123,"118,000.14"
FDC,1/2/2019,5120,23229.0627,316,"146,590.95"
FDC,1/2/2019,5130,13159.10614,192,"95,017.56"
FDC,1/2/2019,5150,5283.76188,218,"35,193.39"
FDC,1/3/2019,5110,17647.57505,114,"109,250.31"
FDC,1/3/2019,5120,21506.60481,293,"135,721.09"
FDC,1/3/2019,5130,12183.34546,178,"87,971.92"
FDC,1/3/2019,5150,4891.96573,201,"32,583.77"
FDC,1/4/2019,5110,17770.15086,114,"110,009.14"
FDC,1/4/2019,5120,21655.9845,295,"136,663.77"
FDC,1/4/2019,5130,12267.96804,179,"88,582.95"
FDC,1/4/2019,5150,4925.944145,203,"32,810.09"
FDC,1/7/2019,5110,13777.82812,89,"85,293.99"
FDC,1/7/2019,5120,16790.65275,229,"105,960.27"
FDC,1/7/2019,5130,9511.790666,139,"68,681.50"
FDC,1/7/2019,5150,3819.259179,157,"25,438.83"
FDC,1/8/2019,5110,15354.69,99,"95,055.82"
FDC,1/8/2019,5120,18712.3301,255,"118,087.34"
FDC,1/8/2019,5130,10600.40782,155,"76,542.05"
FDC,1/8/2019,5150,4256.370468,175,"28,350.28"
FDC,1/9/2019,5110,14070.54137,91,"87,106.08"
FDC,1/9/2019,5120,17147.37418,234,"108,211.42"
FDC,1/9/2019,5130,9713.870929,142,"70,140.66"
FDC,1/9/2019,5150,3900.400252,161,"25,979.28"
FDC,1/10/2019,5110,16773.25286,108,"103,837.67"
FDC,1/10/2019,5120,20441.09287,278,"128,996.99"
FDC,1/10/2019,5130,11579.74018,169,"83,613.48"
FDC,1/10/2019,5150,4649.600747,191,"30,969.46"
FDC,1/11/2019,5110,17273.15481,111,"106,932.40"
FDC,1/11/2019,5120,21050.30936,287,"132,841.56"
FDC,1/11/2019,5130,11924.85718,174,"86,105.46"
FDC,1/11/2019,5150,4788.175209,197,"31,892.45"
FDC,1/14/2019,5110,13471.97254,87,"83,400.54"
FDC,1/14/2019,5120,16417.91513,224,"103,608.04"
FDC,1/14/2019,5130,9300.637336,136,"67,156.83"
FDC,1/14/2019,5150,3734.475007,154,"24,874.11"
FDC,1/15/2019,5110,15970.83906,103,"98,870.19"
FDC,1/15/2019,5120,19463.21368,265,"122,825.92"
FDC,1/15/2019,5130,11025.77827,161,"79,613.51"
FDC,1/15/2019,5150,4427.169008,182,"29,487.91"
FDC,1/16/2019,5110,15541.49349,100,"96,212.26"
FDC,1/16/2019,5120,18939.98227,258,"119,523.98"
FDC,1/16/2019,5130,10729.37123,157,"77,473.25"
FDC,1/16/2019,5150,4308.153008,177,"28,695.19"
FDC,1/17/2019,5110,16928.68868,109,"104,799.93"
FDC,1/17/2019,5120,20630.51815,281,"130,192.39"
FDC,1/17/2019,5130,11687.04832,171,"84,388.32"
FDC,1/17/2019,5150,4692.688069,193,"31,256.45"
FDC,1/18/2019,5110,17872.82493,115,"110,644.76"
FDC,1/18/2019,5120,21781.11052,297,"137,453.40"
FDC,1/18/2019,5130,12338.85108,180,"89,094.77"
FDC,1/18/2019,5150,4954.405736,204,"32,999.66"
FDC,1/22/2019,5110,18095.59745,116,"112,023.87"
FDC,1/22/2019,5120,22052.59714,300,"139,166.66"
FDC,1/22/2019,5130,12492.6464,182,"90,205.28"
FDC,1/22/2019,5150,5016.15901,207,"33,410.98"
FDC,1/23/2019,5110,20563.07906,132,"127,299.24"
FDC,1/23/2019,5120,25059.64778,341,"158,143.17"
FDC,1/23/2019,5130,14196.12015,207,"102,505.50"
FDC,1/23/2019,5150,5700.153011,235,"37,966.84"
FDC,1/24/2019,5110,19413.76366,125,"120,184.20"
FDC,1/24/2019,5120,23659.00934,322,"149,304.20"
FDC,1/24/2019,5130,13402.66799,196,"96,776.24"
FDC,1/24/2019,5150,5381.55901,222,"35,844.79"
FDC,1/25/2019,5110,20354.05556,131,"126,005.24"
FDC,1/25/2019,5120,24804.91671,338,"156,535.64"
FDC,1/25/2019,5130,14051.81673,205,"101,463.53"
FDC,1/25/2019,5150,5642.211011,232,"37,580.91"
FDC,1/28/2019,5110,18868.18125,121,"116,806.68"
FDC,1/28/2019,5120,22994.12335,313,"145,108.32"
FDC,1/28/2019,5130,13026.0146,190,"94,056.55"
FDC,1/28/2019,5150,5230.321775,215,"34,837.45"
FDC,1/29/2019,5110,20007.1222,129,"123,857.49"
FDC,1/29/2019,5120,24382.11875,332,"153,867.51"
FDC,1/29/2019,5130,13812.30456,202,"99,734.09"
