CoID,Date,CostCtr,SBT,RET,UNS,SPE
FDC,1/2/2019,5110,20%,1%,3%,1%
FDC,1/2/2019,5120,20%,1%,3%,1%
FDC,1/2/2019,5130,20%,1%,3%,1%
FDC,1/2/2019,5150,20%,1%,3%,1%
FDC,1/3/2019,5110,20%,1%,3%,1%
FDC,1/3/2019,5120,20%,1%,3%,1%
FDC,1/3/2019,5130,20%,1%,3%,1%
FDC,1/3/2019,5150,20%,1%,3%,1%
FDC,1/4/2019,5110,20%,1%,3%,1%
FDC,1/4/2019,5120,20%,1%,3%,1%
FDC,1/4/2019,5130,20%,1%,3%,1%
FDC,1/4/2019,5150,20%,1%,3%,1%
FDC,1/7/2019,5110,20%,1%,3%,1%
FDC,1/7/2019,5120,20%,1%,3%,1%
FDC,1/7/2019,5130,20%,1%,3%,1%
FDC,1/7/2019,5150,20%,1%,3%,1%
FDC,1/8/2019,5110,20%,1%,3%,1%
FDC,1/8/2019,5120,20%,1%,3%,1%
FDC,1/8/2019,5130,20%,1%,3%,1%
FDC,1/8/2019,5150,20%,1%,3%,1%
FDC,1/9/2019,5110,20%,1%,3%,1%
FDC,1/9/2019,5120,20%,1%,3%,1%
FDC,1/9/2019,5130,20%,1%,3%,1%
FDC,1/9/2019,5150,20%,1%,3%,1%
FDC,1/10/2019,5110,20%,1%,3%,1%
FDC,1/10/2019,5120,20%,1%,3%,1%
FDC,1/10/2019,5130,20%,1%,3%,1%
FDC,1/10/2019,5150,20%,1%,3%,1%
FDC,1/11/2019,5110,20%,1%,3%,1%
FDC,1/11/2019,5120,20%,1%,3%,1%
FDC,1/11/2019,5130,20%,1%,3%,1%
FDC,1/11/2019,5150,20%,1%,3%,1%
FDC,1/14/2019,5110,20%,1%,3%,1%
FDC,1/14/2019,5120,20%,1%,3%,1%
FDC,1/14/2019,5130,20%,1%,3%,1%
FDC,1/14/2019,5150,20%,1%,3%,1%
FDC,1/15/2019,5110,20%,1%,3%,1%
FDC,1/15/2019,5120,20%,1%,3%,1%
FDC,1/15/2019,5130,20%,1%,3%,1%
FDC,1/15/2019,5150,20%,1%,3%,1%
FDC,1/16/2019,5110,20%,1%,3%,1%
FDC,1/16/2019,5120,20%,1%,3%,1%
FDC,1/16/2019,5130,20%,1%,3%,1%
FDC,1/16/2019,5150,20%,1%,3%,1%
FDC,1/17/2019,5110,20%,1%,3%,1%
FDC,1/17/2019,5120,20%,1%,3%,1%
FDC,1/17/2019,5130,20%,1%,3%,1%
FDC,1/17/2019,5150,20%,1%,3%,1%
FDC,1/18/2019,5110,20%,1%,3%,1%
FDC,1/18/2019,5120,20%,1%,3%,1%
FDC,1/18/2019,5130,20%,1%,3%,1%
FDC,1/18/2019,5150,20%,1%,3%,1%
FDC,1/22/2019,5110,20%,1%,3%,1%
FDC,1/22/2019,5120,20%,1%,3%,1%
FDC,1/22/2019,5130,20%,1%,3%,1%
FDC,1/22/2019,5150,20%,1%,3%,1%
FDC,1/23/2019,5110,20%,1%,3%,1%
FDC,1/23/2019,5120,20%,1%,3%,1%
FDC,1/23/2019,5130,20%,1%,3%,1%
FDC,1/23/2019,5150,20%,1%,3%,1%
