CoID,Date,CostCtr,ProdHrs,OTHrs,ProdDollars,Headcount
HJL,1/1/2019,4145,0,0,0,0
HJL,1/2/2019,4145,55.75,0,1394,7
HJL,1/3/2019,4145,55.75,0,1394,7
HJL,1/4/2019,4145,55.75,0,1394,7
HJL,1/5/2019,4145,0,0,0,0
HJL,1/6/2019,4145,0,0,0,0
HJL,1/7/2019,4145,55.75,0,1394,7
HJL,1/8/2019,4145,55.75,0,1394,7
HJL,1/9/2019,4145,55.75,0,1394,7
HJL,1/10/2019,4145,55.75,0,1394,7
HJL,1/11/2019,4145,55.75,4.36,1431.57,7
HJL,1/12/2019,4145,0,0,0,0
HJL,1/13/2019,4145,0,0,0,0
HJL,1/14/2019,4145,55.75,0,1394,7
HJL,1/15/2019,4145,55.75,0,1394,7
HJL,1/16/2019,4145,55.75,0,1394,7
HJL,1/17/2019,4145,55.75,0,1394,7
HJL,1/18/2019,4145,55.75,4.36,1431.57,7
HJL,1/19/2019,4145,0,0,0,0
HJL,1/20/2019,4145,0,0,0,0
HJL,1/21/2019,4145,0,0,0,0
HJL,1/22/2019,4145,55.75,0,1394,7
HJL,1/23/2019,4145,55.75,0,1394,7
HJL,1/24/2019,4145,55.75,0,1394,7
HJL,1/25/2019,4145,55.75,0,1394,7
HJL,1/26/2019,4145,0,0,0,0
HJL,1/27/2019,4145,0,0,0,0
HJL,1/28/2019,4145,55.75,0,1394,7
HJL,1/29/2019,4145,55.75,0,1394,7
HJL,1/30/2019,4145,55.75,0,1394,7
HJL,1/31/2019,4145,55.75,0,1394,7
HJL,2/1/2019,4145,55.75,4.36,1431.57,7
HJL,2/2/2019,4145,0,0,0,0
HJL,2/3/2019,4145,0,0,0,0
HJL,2/4/2019,4145,55.75,0,1394,7
HJL,2/5/2019,4145,55.75,0,1394,7
HJL,2/6/2019,4145,55.75,0,1394,7
HJL,2/7/2019,4145,55.75,0,1394,7
HJL,2/8/2019,4145,55.75,4.36,1431.57,7
HJL,2/9/2019,4145,0,0,0,0
HJL,2/10/2019,4145,0,0,0,0
HJL,2/11/2019,4145,55.75,0,1394,7
HJL,2/12/2019,4145,55.75,0,1394,7
HJL,2/13/2019,4145,55.75,0,1394,7
HJL,2/14/2019,4145,55.75,0,1394,7
HJL,2/15/2019,4145,55.75,4.36,1431.57,7
HJL,2/16/2019,4145,0,0,0,0
HJL,2/17/2019,4145,0,0,0,0
HJL,2/18/2019,4145,55.75,0,1394,7
HJL,2/19/2019,4145,55.75,0,1394,7
HJL,2/20/2019,4145,55.75,0,1394,7
